job_id,skill_name,skill_category,role_category
JOB-00001,Analytical Thinking,Soft Skill,Data Analyst
JOB-00001,Pandas,Tool,Data Analyst
JOB-00001,Statistics,Technical,Data Analyst
JOB-00001,Python,Technical,Data Analyst
JOB-00001,Problem Solving,Soft Skill,Data Analyst
JOB-00001,Jupyter Notebook,Tool,Data Analyst
JOB-00001,Business Acumen,Soft Skill,Data Analyst
JOB-00001,Communication,Soft Skill,Data Analyst
JOB-00001,ETL Process,Technical,Data Analyst
JOB-00001,Regression Analysis,Technical,Data Analyst
JOB-00002,Hypothesis Testing,Technical,Data Analyst
JOB-00002,Numpy,Tool,Data Analyst
JOB-00002,Statistics,Technical,Data Analyst
JOB-00002,A B Testing,Technical,Data Analyst
JOB-00002,Analytical Thinking,Soft Skill,Data Analyst
JOB-00002,Data Modeling,Technical,Data Analyst
JOB-00002,Power Bi,Tool,Data Analyst
JOB-00002,Jupyter Notebook,Tool,Data Analyst
JOB-00003,Statistics,Technical,Data Analyst
JOB-00003,SQL,Technical,Data Analyst
JOB-00003,Attention To Detail,Soft Skill,Data Analyst
JOB-00003,Business Acumen,Soft Skill,Data Analyst
JOB-00003,Communication,Soft Skill,Data Analyst
JOB-00003,Hypothesis Testing,Technical,Data Analyst
JOB-00003,Google Sheets,Tool,Data Analyst
JOB-00003,Excel,Tool,Data Analyst
JOB-00003,Data Modeling,Technical,Data Analyst
JOB-00004,Attention To Detail,Soft Skill,Data Analyst
JOB-00004,ETL Process,Technical,Data Analyst
JOB-00004,Google Sheets,Tool,Data Analyst
JOB-00004,Hypothesis Testing,Technical,Data Analyst
JOB-00004,Power Bi,Tool,Data Analyst
JOB-00004,Data Modeling,Technical,Data Analyst
JOB-00004,Business Acumen,Soft Skill,Data Analyst
JOB-00004,Analytical Thinking,Soft Skill,Data Analyst
JOB-00005,Pandas,Tool,Data Analyst
JOB-00005,Attention To Detail,Soft Skill,Data Analyst
JOB-00005,SQL,Technical,Data Analyst
JOB-00005,Data Modeling,Technical,Data Analyst
JOB-00005,Python,Technical,Data Analyst
JOB-00005,Regression Analysis,Technical,Data Analyst
JOB-00005,A B Testing,Technical,Data Analyst
JOB-00005,ETL Process,Technical,Data Analyst
JOB-00005,Communication,Soft Skill,Data Analyst
JOB-00005,Hypothesis Testing,Technical,Data Analyst
JOB-00005,Power Bi,Tool,Data Analyst
JOB-00005,Statistics,Technical,Data Analyst
JOB-00005,Excel,Tool,Data Analyst
JOB-00006,Python,Technical,Data Analyst
JOB-00006,Communication,Soft Skill,Data Analyst
JOB-00006,Jupyter Notebook,Tool,Data Analyst
JOB-00006,Analytical Thinking,Soft Skill,Data Analyst
JOB-00006,SQL,Technical,Data Analyst
JOB-00006,A B Testing,Technical,Data Analyst
JOB-00006,Attention To Detail,Soft Skill,Data Analyst
JOB-00006,Pandas,Tool,Data Analyst
JOB-00007,Hypothesis Testing,Technical,Data Analyst
JOB-00007,Regression Analysis,Technical,Data Analyst
JOB-00007,Analytical Thinking,Soft Skill,Data Analyst
JOB-00007,Numpy,Tool,Data Analyst
JOB-00007,Problem Solving,Soft Skill,Data Analyst
JOB-00007,Tableau,Tool,Data Analyst
JOB-00007,SQL,Technical,Data Analyst
JOB-00007,Jupyter Notebook,Tool,Data Analyst
JOB-00007,Pandas,Tool,Data Analyst
JOB-00007,Communication,Soft Skill,Data Analyst
JOB-00008,Python,Technical,Data Analyst
JOB-00008,SQL,Technical,Data Analyst
JOB-00008,Numpy,Tool,Data Analyst
JOB-00008,Hypothesis Testing,Technical,Data Analyst
JOB-00008,Power Bi,Tool,Data Analyst
JOB-00008,Attention To Detail,Soft Skill,Data Analyst
JOB-00008,ETL Process,Technical,Data Analyst
JOB-00008,Analytical Thinking,Soft Skill,Data Analyst
JOB-00008,Data Modeling,Technical,Data Analyst
JOB-00008,Regression Analysis,Technical,Data Analyst
JOB-00008,Business Acumen,Soft Skill,Data Analyst
JOB-00008,Problem Solving,Soft Skill,Data Analyst
JOB-00008,Jupyter Notebook,Tool,Data Analyst
JOB-00009,Data Modeling,Technical,Data Analyst
JOB-00009,Problem Solving,Soft Skill,Data Analyst
JOB-00009,Power Bi,Tool,Data Analyst
JOB-00009,Communication,Soft Skill,Data Analyst
JOB-00009,Regression Analysis,Technical,Data Analyst
JOB-00009,SQL,Technical,Data Analyst
JOB-00009,Excel,Tool,Data Analyst
JOB-00009,Python,Technical,Data Analyst
JOB-00009,Numpy,Tool,Data Analyst
JOB-00009,Hypothesis Testing,Technical,Data Analyst
JOB-00009,ETL Process,Technical,Data Analyst
JOB-00010,Regression Analysis,Technical,Data Analyst
JOB-00010,Power Bi,Tool,Data Analyst
JOB-00010,Jupyter Notebook,Tool,Data Analyst
JOB-00010,A B Testing,Technical,Data Analyst
JOB-00010,Business Acumen,Soft Skill,Data Analyst
JOB-00010,ETL Process,Technical,Data Analyst
JOB-00010,Tableau,Tool,Data Analyst
JOB-00010,Hypothesis Testing,Technical,Data Analyst
JOB-00010,Python,Technical,Data Analyst
JOB-00010,Pandas,Tool,Data Analyst
JOB-00010,Data Modeling,Technical,Data Analyst
JOB-00010,Attention To Detail,Soft Skill,Data Analyst
JOB-00010,Google Sheets,Tool,Data Analyst
JOB-00011,Google Sheets,Tool,Data Analyst
JOB-00011,Analytical Thinking,Soft Skill,Data Analyst
JOB-00011,ETL Process,Technical,Data Analyst
JOB-00011,Jupyter Notebook,Tool,Data Analyst
JOB-00011,A B Testing,Technical,Data Analyst
JOB-00011,Numpy,Tool,Data Analyst
JOB-00011,Power Bi,Tool,Data Analyst
JOB-00011,SQL,Technical,Data Analyst
JOB-00011,Communication,Soft Skill,Data Analyst
JOB-00011,Regression Analysis,Technical,Data Analyst
JOB-00011,Data Modeling,Technical,Data Analyst
JOB-00011,Python,Technical,Data Analyst
JOB-00011,Pandas,Tool,Data Analyst
JOB-00012,Power Bi,Tool,Data Analyst
JOB-00012,Data Modeling,Technical,Data Analyst
JOB-00012,Numpy,Tool,Data Analyst
JOB-00012,Statistics,Technical,Data Analyst
JOB-00012,Jupyter Notebook,Tool,Data Analyst
JOB-00012,A B Testing,Technical,Data Analyst
JOB-00012,Attention To Detail,Soft Skill,Data Analyst
JOB-00012,Regression Analysis,Technical,Data Analyst
JOB-00012,SQL,Technical,Data Analyst
JOB-00012,Problem Solving,Soft Skill,Data Analyst
JOB-00012,Hypothesis Testing,Technical,Data Analyst
JOB-00013,Power Bi,Tool,Data Analyst
JOB-00013,ETL Process,Technical,Data Analyst
JOB-00013,SQL,Technical,Data Analyst
JOB-00013,Problem Solving,Soft Skill,Data Analyst
JOB-00013,Numpy,Tool,Data Analyst
JOB-00013,Regression Analysis,Technical,Data Analyst
JOB-00013,Jupyter Notebook,Tool,Data Analyst
JOB-00013,Analytical Thinking,Soft Skill,Data Analyst
JOB-00013,Python,Technical,Data Analyst
JOB-00013,Statistics,Technical,Data Analyst
JOB-00013,Attention To Detail,Soft Skill,Data Analyst
JOB-00013,Pandas,Tool,Data Analyst
JOB-00013,Google Sheets,Tool,Data Analyst
JOB-00013,Data Modeling,Technical,Data Analyst
JOB-00014,Jupyter Notebook,Tool,Data Analyst
JOB-00014,Numpy,Tool,Data Analyst
JOB-00014,Data Modeling,Technical,Data Analyst
JOB-00014,ETL Process,Technical,Data Analyst
JOB-00014,Regression Analysis,Technical,Data Analyst
JOB-00014,Analytical Thinking,Soft Skill,Data Analyst
JOB-00014,Problem Solving,Soft Skill,Data Analyst
JOB-00014,Google Sheets,Tool,Data Analyst
JOB-00014,Tableau,Tool,Data Analyst
JOB-00014,Python,Technical,Data Analyst
JOB-00015,ETL Process,Technical,Data Analyst
JOB-00015,Business Acumen,Soft Skill,Data Analyst
JOB-00015,Problem Solving,Soft Skill,Data Analyst
JOB-00015,Numpy,Tool,Data Analyst
JOB-00015,Communication,Soft Skill,Data Analyst
JOB-00015,Tableau,Tool,Data Analyst
JOB-00015,Pandas,Tool,Data Analyst
JOB-00015,Data Modeling,Technical,Data Analyst
JOB-00015,Jupyter Notebook,Tool,Data Analyst
JOB-00015,Hypothesis Testing,Technical,Data Analyst
JOB-00015,Python,Technical,Data Analyst
JOB-00016,Attention To Detail,Soft Skill,Data Analyst
JOB-00016,A B Testing,Technical,Data Analyst
JOB-00016,Python,Technical,Data Analyst
JOB-00016,Excel,Tool,Data Analyst
JOB-00016,Business Acumen,Soft Skill,Data Analyst
JOB-00016,Problem Solving,Soft Skill,Data Analyst
JOB-00016,ETL Process,Technical,Data Analyst
JOB-00016,Regression Analysis,Technical,Data Analyst
JOB-00016,Analytical Thinking,Soft Skill,Data Analyst
JOB-00016,Hypothesis Testing,Technical,Data Analyst
JOB-00017,Attention To Detail,Soft Skill,Data Analyst
JOB-00017,Jupyter Notebook,Tool,Data Analyst
JOB-00017,Pandas,Tool,Data Analyst
JOB-00017,SQL,Technical,Data Analyst
JOB-00017,Numpy,Tool,Data Analyst
JOB-00017,Business Acumen,Soft Skill,Data Analyst
JOB-00017,Statistics,Technical,Data Analyst
JOB-00017,Power Bi,Tool,Data Analyst
JOB-00017,Problem Solving,Soft Skill,Data Analyst
JOB-00017,Analytical Thinking,Soft Skill,Data Analyst
JOB-00017,A B Testing,Technical,Data Analyst
JOB-00017,Hypothesis Testing,Technical,Data Analyst
JOB-00017,Google Sheets,Tool,Data Analyst
JOB-00017,Communication,Soft Skill,Data Analyst
JOB-00018,Tableau,Tool,Data Analyst
JOB-00018,Communication,Soft Skill,Data Analyst
JOB-00018,Numpy,Tool,Data Analyst
JOB-00018,Jupyter Notebook,Tool,Data Analyst
JOB-00018,Problem Solving,Soft Skill,Data Analyst
JOB-00018,Regression Analysis,Technical,Data Analyst
JOB-00018,A B Testing,Technical,Data Analyst
JOB-00018,SQL,Technical,Data Analyst
JOB-00019,Tableau,Tool,Data Analyst
JOB-00019,Power Bi,Tool,Data Analyst
JOB-00019,Hypothesis Testing,Technical,Data Analyst
JOB-00019,Pandas,Tool,Data Analyst
JOB-00019,Python,Technical,Data Analyst
JOB-00019,Communication,Soft Skill,Data Analyst
JOB-00019,A B Testing,Technical,Data Analyst
JOB-00019,Statistics,Technical,Data Analyst
JOB-00019,Analytical Thinking,Soft Skill,Data Analyst
JOB-00019,Data Modeling,Technical,Data Analyst
JOB-00019,Jupyter Notebook,Tool,Data Analyst
JOB-00019,SQL,Technical,Data Analyst
JOB-00020,Numpy,Tool,Data Analyst
JOB-00020,Jupyter Notebook,Tool,Data Analyst
JOB-00020,Business Acumen,Soft Skill,Data Analyst
JOB-00020,Regression Analysis,Technical,Data Analyst
JOB-00020,Communication,Soft Skill,Data Analyst
JOB-00020,ETL Process,Technical,Data Analyst
JOB-00020,Excel,Tool,Data Analyst
JOB-00020,SQL,Technical,Data Analyst
JOB-00020,Python,Technical,Data Analyst
JOB-00020,Attention To Detail,Soft Skill,Data Analyst
JOB-00021,Excel,Tool,Data Analyst
JOB-00021,Statistics,Technical,Data Analyst
JOB-00021,ETL Process,Technical,Data Analyst
JOB-00021,Power Bi,Tool,Data Analyst
JOB-00021,Jupyter Notebook,Tool,Data Analyst
JOB-00021,Google Sheets,Tool,Data Analyst
JOB-00021,Hypothesis Testing,Technical,Data Analyst
JOB-00021,Business Acumen,Soft Skill,Data Analyst
JOB-00021,Analytical Thinking,Soft Skill,Data Analyst
JOB-00021,Numpy,Tool,Data Analyst
JOB-00021,A B Testing,Technical,Data Analyst
JOB-00021,Communication,Soft Skill,Data Analyst
JOB-00021,Python,Technical,Data Analyst
JOB-00021,SQL,Technical,Data Analyst
JOB-00021,Problem Solving,Soft Skill,Data Analyst
JOB-00022,SQL,Technical,Data Analyst
JOB-00022,Tableau,Tool,Data Analyst
JOB-00022,Statistics,Technical,Data Analyst
JOB-00022,Excel,Tool,Data Analyst
JOB-00022,Numpy,Tool,Data Analyst
JOB-00022,Python,Technical,Data Analyst
JOB-00022,A B Testing,Technical,Data Analyst
JOB-00022,Attention To Detail,Soft Skill,Data Analyst
JOB-00022,Analytical Thinking,Soft Skill,Data Analyst
JOB-00022,Hypothesis Testing,Technical,Data Analyst
JOB-00022,Data Modeling,Technical,Data Analyst
JOB-00022,ETL Process,Technical,Data Analyst
JOB-00023,Pandas,Tool,Data Analyst
JOB-00023,Numpy,Tool,Data Analyst
JOB-00023,Tableau,Tool,Data Analyst
JOB-00023,Power Bi,Tool,Data Analyst
JOB-00023,Attention To Detail,Soft Skill,Data Analyst
JOB-00023,Business Acumen,Soft Skill,Data Analyst
