user_id,target_role,background_level,study_hours_per_week,market_scenario,gap_score,estimated_weeks_ready,readiness_label,A B Testing,Accessibility,Adobe Illustrator,Adobe Xd,Analytical Thinking,Attention To Detail,Business Acumen,CSS,Chrome Devtools,Collaboration,Communication,Creativity,Data Modeling,Design Systems,ETL Process,Empathy,Excel,Figma,Figma (Basic),Git,Github,Google Sheets,HTML,Hypothesis Testing,Information Architecture,Interaction Design,Invision,Javascript,Jupyter Notebook,Maze,Miro,Npm Yarn,Numpy,Pandas,Power Bi,Problem Solving,Prototyping,Python,React,Regression Analysis,Responsive Design,Rest Api,SQL,Sketch,Statistics,Tableau,Time Management,Typescript,Usability Testing,User Research,Visual Thinking,Vs Code,Vue.Js,Web Performance,Webpack,Wireframing
USR-0001,Data Analyst,Pemula,6.4,Booming,0.7579,132.7,Significant Gap,0.0,0.0,0.0,0.0,28.0,23.0,45.0,0.0,0.0,0.0,30.0,0.0,16.0,0.0,17.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,22.0,41.0,27.0,30.0,0.0,30.0,0.0,11.0,0.0,0.0,29.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0002,Data Analyst,Menengah,5.1,Normal,0.4986,150.6,Needs Work,44.0,0.0,0.0,0.0,0.0,56.0,60.0,0.0,0.0,0.0,56.0,0.0,58.0,0.0,53.0,0.0,100.0,0.0,0.0,0.0,0.0,70.0,0.0,50.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,35.0,0.0,51.0,62.0,0.0,0.0,0.0,33.0,0.0,0.0,58.0,0.0,66.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0003,Data Analyst,Menengah,13.3,Kompetitif,0.4069,56.9,Needs Work,80.0,0.0,0.0,0.0,80.0,80.0,100.0,0.0,0.0,0.0,67.0,0.0,70.0,0.0,67.0,0.0,40.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,65.0,50.0,51.0,70.0,0.0,59.0,0.0,60.0,0.0,0.0,39.0,0.0,54.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0004,Data Analyst,Menengah,8.7,Booming,0.4525,57.5,Needs Work,43.0,0.0,0.0,0.0,80.0,80.0,79.0,0.0,0.0,0.0,59.0,0.0,51.0,0.0,34.0,0.0,53.0,0.0,0.0,0.0,0.0,45.0,0.0,49.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,22.0,49.0,68.0,69.0,0.0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0005,Data Analyst,Pemula,19.0,Kompetitif,0.7319,71.5,Significant Gap,25.0,0.0,0.0,0.0,7.0,45.0,47.0,0.0,0.0,0.0,42.0,0.0,18.0,0.0,39.0,0.0,14.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,28.0,22.0,30.0,37.0,0.0,46.0,0.0,38.0,0.0,0.0,12.0,0.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0006,Data Analyst,Lanjutan,7.9,Normal,0.2107,36.5,Almost Ready,86.0,0.0,0.0,0.0,93.0,93.0,73.0,0.0,0.0,0.0,89.0,0.0,69.0,0.0,100.0,0.0,63.0,0.0,0.0,0.0,0.0,64.0,0.0,84.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,84.0,93.0,100.0,0.0,70.0,0.0,64.0,0.0,0.0,81.0,0.0,82.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0007,Data Analyst,Menengah,3.0,Normal,0.3998,197.1,Almost Ready,66.0,0.0,0.0,0.0,76.0,80.0,80.0,0.0,0.0,0.0,77.0,0.0,71.0,0.0,50.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,41.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,43.0,63.0,0.0,76.0,0.0,66.0,0.0,0.0,0.0,0.0,48.0,0.0,67.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0008,Data Analyst,Pemula,9.8,Normal,0.7889,114.5,Significant Gap,1.0,0.0,0.0,0.0,36.0,0.0,45.0,0.0,0.0,0.0,18.0,0.0,26.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,27.0,0.0,38.0,0.0,13.0,0.0,35.0,0.0,0.0,21.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0009,Data Analyst,Pemula,25.0,Booming,0.7527,34.2,Significant Gap,14.0,0.0,0.0,0.0,50.0,43.0,40.0,0.0,0.0,0.0,17.0,0.0,31.0,0.0,50.0,0.0,11.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,1.0,0.0,50.0,0.0,0.0,39.0,0.0,44.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USR-0010,Data Analyst,Menengah,8.5,Normal,0.5433,78.7,Needs Work,46.0,0.0,0.0,0.0,60.0,77.0,61.0,0.0,0.0,0.0,63.0,0.0,26.0,0.0,53.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,70.0,0.0,79.0,0.0,59.0,0.0,0.0,36.0,0.0,80.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
