user_id,target_role,background_level,study_hours_per_week,market_scenario,gap_score,readiness_label,top_missing_skill_1,top_missing_skill_2,top_missing_skill_3,estimated_weeks_ready,current_skills_json
USR-0001,Data Analyst,Pemula,6.4,Booming,0.7579,Significant Gap,Google Sheets,Tableau,Jupyter Notebook,132.7,"{""Python"": 30, ""SQL"": 29, ""Statistics"": 40, ""Data Modeling"": 16, ""ETL Process"": 17, ""Hypothesis Testing"": 16, ""Regression Analysis"": 11, ""A B Testing"": 0, ""Excel"": 35, ""Tableau"": 6, ""Power Bi"": 27, ""Pandas"": 41, ""Numpy"": 22, ""Google Sheets"": 0, ""Jupyter Notebook"": 20, ""Analytical Thinking"": 28, ""Communication"": 30, ""Problem Solving"": 30, ""Attention To Detail"": 23, ""Business Acumen"": 45}"
USR-0002,Data Analyst,Menengah,5.1,Normal,0.4986,Needs Work,Python,Analytical Thinking,Pandas,150.6,"{""Python"": 0, ""SQL"": 58, ""Statistics"": 66, ""Data Modeling"": 58, ""ETL Process"": 53, ""Hypothesis Testing"": 50, ""Regression Analysis"": 33, ""A B Testing"": 44, ""Excel"": 100, ""Tableau"": 72, ""Power Bi"": 51, ""Pandas"": 0, ""Numpy"": 35, ""Google Sheets"": 70, ""Jupyter Notebook"": 76, ""Analytical Thinking"": 0, ""Communication"": 56, ""Problem Solving"": 62, ""Attention To Detail"": 56, ""Business Acumen"": 60}"
USR-0003,Data Analyst,Menengah,13.3,Kompetitif,0.4069,Needs Work,Hypothesis Testing,SQL,Excel,56.9,"{""Python"": 59, ""SQL"": 39, ""Statistics"": 54, ""Data Modeling"": 70, ""ETL Process"": 67, ""Hypothesis Testing"": 0, ""Regression Analysis"": 60, ""A B Testing"": 80, ""Excel"": 40, ""Tableau"": 53, ""Power Bi"": 51, ""Pandas"": 50, ""Numpy"": 65, ""Google Sheets"": 51, ""Jupyter Notebook"": 54, ""Analytical Thinking"": 80, ""Communication"": 67, ""Problem Solving"": 70, ""Attention To Detail"": 80, ""Business Acumen"": 100}"
USR-0004,Data Analyst,Menengah,8.7,Booming,0.4525,Needs Work,Regression Analysis,Numpy,Jupyter Notebook,57.5,"{""Python"": 59, ""SQL"": 59, ""Statistics"": 55, ""Data Modeling"": 51, ""ETL Process"": 34, ""Hypothesis Testing"": 49, ""Regression Analysis"": 0, ""A B Testing"": 43, ""Excel"": 53, ""Tableau"": 65, ""Power Bi"": 68, ""Pandas"": 49, ""Numpy"": 22, ""Google Sheets"": 45, ""Jupyter Notebook"": 47, ""Analytical Thinking"": 80, ""Communication"": 59, ""Problem Solving"": 69, ""Attention To Detail"": 80, ""Business Acumen"": 79}"
USR-0005,Data Analyst,Pemula,19.0,Kompetitif,0.7319,Significant Gap,Analytical Thinking,SQL,Jupyter Notebook,71.5,"{""Python"": 46, ""SQL"": 12, ""Statistics"": 26, ""Data Modeling"": 18, ""ETL Process"": 39, ""Hypothesis Testing"": 0, ""Regression Analysis"": 38, ""A B Testing"": 25, ""Excel"": 14, ""Tableau"": 13, ""Power Bi"": 30, ""Pandas"": 22, ""Numpy"": 28, ""Google Sheets"": 44, ""Jupyter Notebook"": 8, ""Analytical Thinking"": 7, ""Communication"": 42, ""Problem Solving"": 37, ""Attention To Detail"": 45, ""Business Acumen"": 47}"
USR-0006,Data Analyst,Lanjutan,7.9,Normal,0.2107,Almost Ready,Numpy,Excel,Google Sheets,36.5,"{""Python"": 70, ""SQL"": 81, ""Statistics"": 82, ""Data Modeling"": 69, ""ETL Process"": 100, ""Hypothesis Testing"": 84, ""Regression Analysis"": 64, ""A B Testing"": 86, ""Excel"": 63, ""Tableau"": 92, ""Power Bi"": 93, ""Pandas"": 84, ""Numpy"": 0, ""Google Sheets"": 64, ""Jupyter Notebook"": 85, ""Analytical Thinking"": 93, ""Communication"": 89, ""Problem Solving"": 100, ""Attention To Detail"": 93, ""Business Acumen"": 73}"
USR-0007,Data Analyst,Menengah,3.0,Normal,0.3998,Almost Ready,Power Bi,Regression Analysis,SQL,197.1,"{""Python"": 66, ""SQL"": 48, ""Statistics"": 67, ""Data Modeling"": 71, ""ETL Process"": 50, ""Hypothesis Testing"": 41, ""Regression Analysis"": 0, ""A B Testing"": 66, ""Excel"": 60, ""Tableau"": 44, ""Power Bi"": 0, ""Pandas"": 63, ""Numpy"": 43, ""Google Sheets"": 100, ""Jupyter Notebook"": 67, ""Analytical Thinking"": 76, ""Communication"": 77, ""Problem Solving"": 76, ""Attention To Detail"": 80, ""Business Acumen"": 80}"
USR-0008,Data Analyst,Pemula,9.8,Normal,0.7889,Significant Gap,Jupyter Notebook,Python,Excel,114.5,"{""Python"": 13, ""SQL"": 21, ""Statistics"": 18, ""Data Modeling"": 26, ""ETL Process"": 50, ""Hypothesis Testing"": 0, ""Regression Analysis"": 35, ""A B Testing"": 1, ""Excel"": 10, ""Tableau"": 42, ""Power Bi"": 0, ""Pandas"": 27, ""Numpy"": 26, ""Google Sheets"": 18, ""Jupyter Notebook"": 1, ""Analytical Thinking"": 36, ""Communication"": 18, ""Problem Solving"": 38, ""Attention To Detail"": 0, ""Business Acumen"": 45}"
USR-0009,Data Analyst,Pemula,25.0,Booming,0.7527,Significant Gap,Python,Jupyter Notebook,Pandas,34.2,"{""Python"": 1, ""SQL"": 39, ""Statistics"": 44, ""Data Modeling"": 31, ""ETL Process"": 50, ""Hypothesis Testing"": 5, ""Regression Analysis"": 50, ""A B Testing"": 14, ""Excel"": 11, ""Tableau"": 31, ""Power Bi"": 0, ""Pandas"": 0, ""Numpy"": 8, ""Google Sheets"": 50, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 50, ""Communication"": 17, ""Problem Solving"": 16, ""Attention To Detail"": 43, ""Business Acumen"": 40, ""Power BI"": 0}"
USR-0010,Data Analyst,Menengah,8.5,Normal,0.5433,Needs Work,Jupyter Notebook,Pandas,Google Sheets,78.7,"{""Python"": 79, ""SQL"": 36, ""Statistics"": 80, ""Data Modeling"": 26, ""ETL Process"": 53, ""Hypothesis Testing"": 64, ""Regression Analysis"": 59, ""A B Testing"": 46, ""Excel"": 59, ""Tableau"": 38, ""Power Bi"": 39, ""Pandas"": 0, ""Numpy"": 0, ""Google Sheets"": 0, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 60, ""Communication"": 63, ""Problem Solving"": 70, ""Attention To Detail"": 77, ""Business Acumen"": 61}"
USR-0011,Data Analyst,Lanjutan,5.8,Booming,0.281,Almost Ready,Jupyter Notebook,Regression Analysis,Pandas,46.8,"{""Python"": 81, ""SQL"": 78, ""Statistics"": 89, ""Data Modeling"": 72, ""ETL Process"": 89, ""Hypothesis Testing"": 75, ""Regression Analysis"": 0, ""A B Testing"": 75, ""Excel"": 80, ""Tableau"": 82, ""Power Bi"": 84, ""Pandas"": 69, ""Numpy"": 68, ""Google Sheets"": 77, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 88, ""Communication"": 84, ""Problem Solving"": 75, ""Attention To Detail"": 87, ""Business Acumen"": 74}"
USR-0012,Data Analyst,Menengah,11.0,Kompetitif,0.4755,Needs Work,Numpy,Statistics,Python,81.6,"{""Python"": 48, ""SQL"": 58, ""Statistics"": 33, ""Data Modeling"": 34, ""ETL Process"": 44, ""Hypothesis Testing"": 52, ""Regression Analysis"": 60, ""A B Testing"": 77, ""Excel"": 60, ""Tableau"": 52, ""Power Bi"": 46, ""Pandas"": 43, ""Numpy"": 0, ""Google Sheets"": 44, ""Jupyter Notebook"": 49, ""Analytical Thinking"": 75, ""Communication"": 64, ""Problem Solving"": 66, ""Attention To Detail"": 67, ""Business Acumen"": 74}"
USR-0013,Data Analyst,Menengah,14.8,Booming,0.4683,Needs Work,Tableau,Google Sheets,Excel,35.3,"{""Python"": 80, ""SQL"": 53, ""Statistics"": 70, ""Data Modeling"": 33, ""ETL Process"": 0, ""Hypothesis Testing"": 100, ""Regression Analysis"": 35, ""A B Testing"": 70, ""Excel"": 20, ""Tableau"": 0, ""Power Bi"": 80, ""Pandas"": 50, ""Numpy"": 69, ""Google Sheets"": 0, ""Jupyter Notebook"": 80, ""Analytical Thinking"": 80, ""Communication"": 54, ""Problem Solving"": 44, ""Attention To Detail"": 80, ""Business Acumen"": 62}"
USR-0014,Data Analyst,Pemula,18.2,Normal,0.737,Significant Gap,Communication,Jupyter Notebook,Tableau,59.2,"{""Python"": 25, ""SQL"": 26, ""Statistics"": 18, ""Data Modeling"": 34, ""ETL Process"": 9, ""Hypothesis Testing"": 23, ""Regression Analysis"": 27, ""A B Testing"": 33, ""Excel"": 38, ""Tableau"": 5, ""Power Bi"": 30, ""Pandas"": 19, ""Numpy"": 44, ""Google Sheets"": 27, ""Jupyter Notebook"": 14, ""Analytical Thinking"": 45, ""Communication"": 0, ""Problem Solving"": 50, ""Attention To Detail"": 50, ""Business Acumen"": 8}"
USR-0015,Data Analyst,Lanjutan,7.6,Booming,0.234,Almost Ready,Python,Tableau,Excel,36.0,"{""Python"": 52, ""SQL"": 72, ""Statistics"": 94, ""Data Modeling"": 90, ""ETL Process"": 82, ""Hypothesis Testing"": 78, ""Regression Analysis"": 88, ""A B Testing"": 75, ""Excel"": 68, ""Tableau"": 56, ""Power Bi"": 72, ""Pandas"": 76, ""Numpy"": 64, ""Google Sheets"": 81, ""Jupyter Notebook"": 83, ""Analytical Thinking"": 78, ""Communication"": 74, ""Problem Solving"": 84, ""Attention To Detail"": 74, ""Business Acumen"": 100}"
USR-0016,Data Analyst,Lanjutan,7.1,Kompetitif,0.3145,Almost Ready,Analytical Thinking,Business Acumen,Tableau,89.1,"{""Python"": 70, ""SQL"": 81, ""Statistics"": 77, ""Data Modeling"": 75, ""ETL Process"": 85, ""Hypothesis Testing"": 87, ""Regression Analysis"": 72, ""A B Testing"": 71, ""Excel"": 77, ""Tableau"": 50, ""Power Bi"": 88, ""Pandas"": 70, ""Numpy"": 100, ""Google Sheets"": 82, ""Jupyter Notebook"": 77, ""Analytical Thinking"": 0, ""Communication"": 74, ""Problem Solving"": 69, ""Attention To Detail"": 76, ""Business Acumen"": 0}"
USR-0017,Data Analyst,Menengah,14.2,Kompetitif,0.479,Needs Work,SQL,Tableau,Pandas,60.6,"{""Python"": 65, ""SQL"": 0, ""Statistics"": 55, ""Data Modeling"": 80, ""ETL Process"": 70, ""Hypothesis Testing"": 48, ""Regression Analysis"": 79, ""A B Testing"": 0, ""Excel"": 100, ""Tableau"": 0, ""Power Bi"": 80, ""Pandas"": 26, ""Numpy"": 57, ""Google Sheets"": 39, ""Jupyter Notebook"": 43, ""Analytical Thinking"": 65, ""Communication"": 57, ""Problem Solving"": 66, ""Attention To Detail"": 55, ""Business Acumen"": 53}"
USR-0018,Data Analyst,Menengah,13.0,Normal,0.4733,Needs Work,Pandas,Excel,Statistics,52.2,"{""Python"": 56, ""SQL"": 66, ""Statistics"": 30, ""Data Modeling"": 63, ""ETL Process"": 45, ""Hypothesis Testing"": 64, ""Regression Analysis"": 44, ""A B Testing"": 28, ""Excel"": 23, ""Tableau"": 58, ""Power Bi"": 58, ""Pandas"": 0, ""Numpy"": 42, ""Google Sheets"": 48, ""Jupyter Notebook"": 65, ""Analytical Thinking"": 58, ""Communication"": 73, ""Problem Solving"": 80, ""Attention To Detail"": 77, ""Business Acumen"": 67}"
USR-0019,Data Analyst,Pemula,12.8,Normal,0.6881,Significant Gap,Google Sheets,Jupyter Notebook,Python,75.5,"{""Python"": 26, ""SQL"": 32, ""Statistics"": 49, ""Data Modeling"": 23, ""ETL Process"": 27, ""Hypothesis Testing"": 0, ""Regression Analysis"": 34, ""A B Testing"": 20, ""Excel"": 27, ""Tableau"": 27, ""Power Bi"": 100, ""Pandas"": 42, ""Numpy"": 16, ""Google Sheets"": 2, ""Jupyter Notebook"": 20, ""Analytical Thinking"": 39, ""Communication"": 32, ""Problem Solving"": 35, ""Attention To Detail"": 50, ""Business Acumen"": 9}"
USR-0020,Data Analyst,Lanjutan,10.4,Normal,0.2316,Almost Ready,Problem Solving,Google Sheets,Attention To Detail,29.6,"{""Python"": 86, ""SQL"": 100, ""Statistics"": 80, ""Data Modeling"": 81, ""ETL Process"": 72, ""Hypothesis Testing"": 68, ""Regression Analysis"": 88, ""A B Testing"": 68, ""Excel"": 84, ""Tableau"": 80, ""Power Bi"": 83, ""Pandas"": 79, ""Numpy"": 81, ""Google Sheets"": 59, ""Jupyter Notebook"": 91, ""Analytical Thinking"": 78, ""Communication"": 90, ""Problem Solving"": 0, ""Attention To Detail"": 66, ""Business Acumen"": 100}"
USR-0021,Data Analyst,Pemula,12.9,Normal,0.7184,Significant Gap,Problem Solving,Excel,SQL,78.2,"{""Python"": 50, ""SQL"": 22, ""Statistics"": 26, ""Data Modeling"": 50, ""ETL Process"": 34, ""Hypothesis Testing"": 28, ""Regression Analysis"": 32, ""A B Testing"": 29, ""Excel"": 10, ""Tableau"": 50, ""Power Bi"": 26, ""Pandas"": 20, ""Numpy"": 30, ""Google Sheets"": 28, ""Jupyter Notebook"": 39, ""Analytical Thinking"": 36, ""Communication"": 24, ""Problem Solving"": 0, ""Attention To Detail"": 14, ""Business Acumen"": 18}"
USR-0022,Data Analyst,Pemula,4.8,Booming,0.4534,Needs Work,Excel,SQL,ETL Process,111.4,"{""Python"": 51, ""SQL"": 32, ""Statistics"": 51, ""Data Modeling"": 51, ""ETL Process"": 20, ""Hypothesis Testing"": 54, ""Regression Analysis"": 52, ""A B Testing"": 65, ""Excel"": 0, ""Tableau"": 75, ""Power Bi"": 100, ""Pandas"": 48, ""Numpy"": 80, ""Google Sheets"": 61, ""Jupyter Notebook"": 52, ""Analytical Thinking"": 60, ""Communication"": 65, ""Problem Solving"": 53, ""Attention To Detail"": 61, ""Business Acumen"": 80}"
USR-0023,Data Analyst,Menengah,5.3,Booming,0.3794,Almost Ready,Excel,Numpy,Statistics,80.0,"{""Python"": 58, ""SQL"": 100, ""Statistics"": 51, ""Data Modeling"": 53, ""ETL Process"": 63, ""Hypothesis Testing"": 67, ""Regression Analysis"": 35, ""A B Testing"": 50, ""Excel"": 47, ""Tableau"": 60, ""Power Bi"": 69, ""Pandas"": 56, ""Numpy"": 30, ""Google Sheets"": 50, ""Jupyter Notebook"": 57, ""Analytical Thinking"": 100, ""Communication"": 63, ""Problem Solving"": 61, ""Attention To Detail"": 79, ""Business Acumen"": 69}"
USR-0024,Data Analyst,Pemula,10.5,Normal,0.7679,Significant Gap,SQL,Excel,Problem Solving,104.2,"{""Python"": 30, ""SQL"": 6, ""Statistics"": 39, ""Data Modeling"": 22, ""ETL Process"": 17, ""Hypothesis Testing"": 41, ""Regression Analysis"": 14, ""A B Testing"": 4, ""Excel"": 4, ""Tableau"": 32, ""Power Bi"": 0, ""Pandas"": 50, ""Numpy"": 24, ""Google Sheets"": 0, ""Jupyter Notebook"": 25, ""Analytical Thinking"": 32, ""Communication"": 41, ""Problem Solving"": 7, ""Attention To Detail"": 42, ""Business Acumen"": 32}"
USR-0025,Data Analyst,Pemula,3.9,Booming,0.7137,Significant Gap,SQL,Tableau,Power Bi,218.0,"{""Python"": 33, ""SQL"": 0, ""Statistics"": 36, ""Data Modeling"": 18, ""ETL Process"": 33, ""Hypothesis Testing"": 49, ""Regression Analysis"": 49, ""A B Testing"": 10, ""Excel"": 41, ""Tableau"": 0, ""Power Bi"": 0, ""Pandas"": 24, ""Numpy"": 16, ""Google Sheets"": 12, ""Jupyter Notebook"": 100, ""Analytical Thinking"": 21, ""Communication"": 50, ""Problem Solving"": 45, ""Attention To Detail"": 0, ""Business Acumen"": 26}"
USR-0026,Data Analyst,Menengah,10.5,Normal,0.4099,Needs Work,Jupyter Notebook,SQL,Pandas,51.1,"{""Python"": 72, ""SQL"": 44, ""Statistics"": 54, ""Data Modeling"": 80, ""ETL Process"": 46, ""Hypothesis Testing"": 80, ""Regression Analysis"": 66, ""A B Testing"": 47, ""Excel"": 60, ""Tableau"": 71, ""Power Bi"": 52, ""Pandas"": 44, ""Numpy"": 48, ""Google Sheets"": 65, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 76, ""Communication"": 75, ""Problem Solving"": 72, ""Attention To Detail"": 68, ""Business Acumen"": 69}"
USR-0027,Data Analyst,Lanjutan,8.3,Booming,0.2279,Almost Ready,Excel,Hypothesis Testing,Numpy,31.1,"{""Python"": 75, ""SQL"": 92, ""Statistics"": 100, ""Data Modeling"": 72, ""ETL Process"": 89, ""Hypothesis Testing"": 0, ""Regression Analysis"": 84, ""A B Testing"": 65, ""Excel"": 0, ""Tableau"": 77, ""Power Bi"": 79, ""Pandas"": 98, ""Numpy"": 62, ""Google Sheets"": 88, ""Jupyter Notebook"": 97, ""Analytical Thinking"": 82, ""Communication"": 100, ""Problem Solving"": 82, ""Attention To Detail"": 100, ""Business Acumen"": 82}"
USR-0028,Data Analyst,Pemula,10.6,Booming,0.6909,Significant Gap,Jupyter Notebook,Python,SQL,77.9,"{""Python"": 10, ""SQL"": 13, ""Statistics"": 24, ""Data Modeling"": 29, ""ETL Process"": 48, ""Hypothesis Testing"": 10, ""Regression Analysis"": 40, ""A B Testing"": 22, ""Excel"": 27, ""Tableau"": 28, ""Power Bi"": 30, ""Pandas"": 33, ""Numpy"": 10, ""Google Sheets"": 100, ""Jupyter Notebook"": 7, ""Analytical Thinking"": 50, ""Communication"": 50, ""Problem Solving"": 23, ""Attention To Detail"": 24, ""Business Acumen"": 45}"
USR-0029,Data Analyst,Menengah,6.6,Booming,0.4277,Needs Work,Statistics,Excel,Jupyter Notebook,79.6,"{""Python"": 57, ""SQL"": 50, ""Statistics"": 0, ""Data Modeling"": 63, ""ETL Process"": 71, ""Hypothesis Testing"": 42, ""Regression Analysis"": 57, ""A B Testing"": 29, ""Excel"": 31, ""Tableau"": 46, ""Power Bi"": 76, ""Pandas"": 54, ""Numpy"": 58, ""Google Sheets"": 80, ""Jupyter Notebook"": 44, ""Analytical Thinking"": 73, ""Communication"": 80, ""Problem Solving"": 77, ""Attention To Detail"": 80, ""Business Acumen"": 79}"
USR-0030,Data Analyst,Menengah,12.0,Booming,0.4561,Needs Work,SQL,Statistics,Attention To Detail,46.1,"{""Python"": 76, ""SQL"": 0, ""Statistics"": 0, ""Data Modeling"": 57, ""ETL Process"": 73, ""Hypothesis Testing"": 43, ""Regression Analysis"": 61, ""A B Testing"": 49, ""Excel"": 46, ""Tableau"": 70, ""Power Bi"": 61, ""Pandas"": 51, ""Numpy"": 70, ""Google Sheets"": 80, ""Jupyter Notebook"": 68, ""Analytical Thinking"": 80, ""Communication"": 70, ""Problem Solving"": 72, ""Attention To Detail"": 0, ""Business Acumen"": 70}"
USR-0031,Data Analyst,Pemula,3.0,Kompetitif,0.7536,Significant Gap,Pandas,Tableau,SQL,470.5,"{""Python"": 39, ""SQL"": 18, ""Statistics"": 27, ""Data Modeling"": 31, ""ETL Process"": 0, ""Hypothesis Testing"": 100, ""Regression Analysis"": 0, ""A B Testing"": 36, ""Excel"": 40, ""Tableau"": 0, ""Power Bi"": 0, ""Pandas"": 1, ""Numpy"": 39, ""Google Sheets"": 15, ""Jupyter Notebook"": 31, ""Analytical Thinking"": 44, ""Communication"": 35, ""Problem Solving"": 17, ""Attention To Detail"": 24, ""Business Acumen"": 0}"
USR-0032,Data Analyst,Pemula,13.8,Normal,0.7304,Significant Gap,Python,Problem Solving,Jupyter Notebook,77.9,"{""Python"": 6, ""SQL"": 47, ""Statistics"": 24, ""Data Modeling"": 42, ""ETL Process"": 30, ""Hypothesis Testing"": 32, ""Regression Analysis"": 34, ""A B Testing"": 32, ""Excel"": 27, ""Tableau"": 36, ""Power Bi"": 34, ""Pandas"": 35, ""Numpy"": 9, ""Google Sheets"": 50, ""Jupyter Notebook"": 22, ""Analytical Thinking"": 28, ""Communication"": 23, ""Problem Solving"": 2, ""Attention To Detail"": 29, ""Business Acumen"": 0}"
USR-0033,Data Analyst,Menengah,11.5,Kompetitif,0.4198,Needs Work,Power Bi,Pandas,Google Sheets,68.2,"{""Python"": 62, ""SQL"": 55, ""Statistics"": 46, ""Data Modeling"": 51, ""ETL Process"": 49, ""Hypothesis Testing"": 80, ""Regression Analysis"": 55, ""A B Testing"": 63, ""Excel"": 72, ""Tableau"": 50, ""Power Bi"": 21, ""Pandas"": 41, ""Numpy"": 55, ""Google Sheets"": 40, ""Jupyter Notebook"": 56, ""Analytical Thinking"": 80, ""Communication"": 80, ""Problem Solving"": 68, ""Attention To Detail"": 59, ""Business Acumen"": 77}"
USR-0034,Data Analyst,Lanjutan,8.9,Booming,0.3413,Almost Ready,Statistics,Business Acumen,ETL Process,47.5,"{""Python"": 94, ""SQL"": 80, ""Statistics"": 0, ""Data Modeling"": 70, ""ETL Process"": 0, ""Hypothesis Testing"": 80, ""Regression Analysis"": 70, ""A B Testing"": 72, ""Excel"": 84, ""Tableau"": 80, ""Power Bi"": 87, ""Pandas"": 71, ""Numpy"": 0, ""Google Sheets"": 93, ""Jupyter Notebook"": 72, ""Analytical Thinking"": 91, ""Communication"": 89, ""Problem Solving"": 70, ""Attention To Detail"": 81, ""Business Acumen"": 0}"
USR-0035,Data Analyst,Lanjutan,3.0,Kompetitif,0.3638,Almost Ready,Tableau,Data Modeling,Business Acumen,221.5,"{""Python"": 100, ""SQL"": 77, ""Statistics"": 99, ""Data Modeling"": 0, ""ETL Process"": 71, ""Hypothesis Testing"": 0, ""Regression Analysis"": 80, ""A B Testing"": 0, ""Excel"": 66, ""Tableau"": 0, ""Power Bi"": 91, ""Pandas"": 81, ""Numpy"": 64, ""Google Sheets"": 73, ""Jupyter Notebook"": 99, ""Analytical Thinking"": 96, ""Communication"": 55, ""Problem Solving"": 88, ""Attention To Detail"": 72, ""Business Acumen"": 0}"
USR-0036,Data Analyst,Pemula,17.8,Normal,0.6861,Significant Gap,Jupyter Notebook,Python,Data Modeling,57.0,"{""Python"": 24, ""SQL"": 32, ""Statistics"": 26, ""Data Modeling"": 6, ""ETL Process"": 40, ""Hypothesis Testing"": 0, ""Regression Analysis"": 2, ""A B Testing"": 19, ""Excel"": 41, ""Tableau"": 31, ""Power Bi"": 27, ""Pandas"": 50, ""Numpy"": 100, ""Google Sheets"": 21, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 39, ""Communication"": 44, ""Problem Solving"": 34, ""Attention To Detail"": 48, ""Business Acumen"": 40}"
USR-0037,Data Analyst,Menengah,6.5,Normal,0.4325,Needs Work,Power Bi,SQL,A B Testing,97.3,"{""Python"": 61, ""SQL"": 41, ""Statistics"": 65, ""Data Modeling"": 59, ""ETL Process"": 45, ""Hypothesis Testing"": 71, ""Regression Analysis"": 53, ""A B Testing"": 0, ""Excel"": 48, ""Tableau"": 57, ""Power Bi"": 0, ""Pandas"": 49, ""Numpy"": 79, ""Google Sheets"": 66, ""Jupyter Notebook"": 76, ""Analytical Thinking"": 80, ""Communication"": 49, ""Problem Solving"": 68, ""Attention To Detail"": 73, ""Business Acumen"": 80}"
USR-0038,Data Analyst,Menengah,11.8,Booming,0.5013,Needs Work,Analytical Thinking,Problem Solving,SQL,47.3,"{""Python"": 73, ""SQL"": 37, ""Statistics"": 64, ""Data Modeling"": 66, ""ETL Process"": 51, ""Hypothesis Testing"": 76, ""Regression Analysis"": 53, ""A B Testing"": 57, ""Excel"": 49, ""Tableau"": 53, ""Power Bi"": 77, ""Pandas"": 41, ""Numpy"": 40, ""Google Sheets"": 27, ""Jupyter Notebook"": 80, ""Analytical Thinking"": 0, ""Communication"": 80, ""Problem Solving"": 0, ""Attention To Detail"": 45, ""Business Acumen"": 41}"
USR-0039,Data Analyst,Menengah,12.7,Kompetitif,0.402,Needs Work,Hypothesis Testing,Jupyter Notebook,Pandas,58.9,"{""Python"": 64, ""SQL"": 51, ""Statistics"": 61, ""Data Modeling"": 52, ""ETL Process"": 63, ""Hypothesis Testing"": 0, ""Regression Analysis"": 41, ""A B Testing"": 42, ""Excel"": 100, ""Tableau"": 54, ""Power Bi"": 78, ""Pandas"": 38, ""Numpy"": 100, ""Google Sheets"": 57, ""Jupyter Notebook"": 41, ""Analytical Thinking"": 57, ""Communication"": 67, ""Problem Solving"": 68, ""Attention To Detail"": 74, ""Business Acumen"": 71}"
