user_id,target_role,background_level,study_hours_per_week,market_scenario,gap_score,readiness_label,top_missing_skill_1,top_missing_skill_2,top_missing_skill_3,estimated_weeks_ready,current_skills_json
USR-0001,Data Analyst,,6.4,Booming,0.746,Significant Gap,Tableau,SQL,Analytical Thinking,130.7,"{""Python"": 30, ""SQL"": 29, ""Statistics"": 40, ""Data Modeling"": 16, ""ETL Process"": 17, ""Hypothesis Testing"": 16, ""Regression Analysis"": 11, ""A/B Testing"": 0, ""Excel"": 35, ""Tableau"": 6, ""Power BI"": 27, ""Pandas"": 41, ""NumPy"": 22, ""Google Sheets"": 19, ""Jupyter Notebook"": 20, ""Analytical Thinking"": 28, ""Communication"": 30, ""Problem Solving"": 30, ""Attention to Detail"": 23, ""Business Acumen"": 45}"
USR-0002,Data Analyst,Menengah,5.1,Normal,0.4415,Needs Work,Python,Excel,NumPy,,"{""Python"": 35, ""SQL"": 58, ""Statistics"": 66, ""Data Modeling"": 58, ""ETL Process"": 53, ""Hypothesis Testing"": 50, ""Regression Analysis"": 33, ""A/B Testing"": 44, ""Excel"": 44, ""Tableau"": 72, ""Power BI"": 51, ""Pandas"": 59, ""NumPy"": 35, ""Google Sheets"": 70, ""Jupyter Notebook"": 76, ""Analytical Thinking"": 75, ""Communication"": 56, ""Problem Solving"": 62, ""Attention to Detail"": 56, ""Business Acumen"": 60}"
USR-0003,Data Analyst,Menengah,13.3,Kompetitif ,0.396,Almost Ready,SQL,Excel,Pandas,43.4,"{""Python"": 59, ""SQL"": 39, ""Statistics"": 54, ""Data Modeling"": 70, ""ETL Process"": 67, ""Hypothesis Testing"": 77, ""Regression Analysis"": 60, ""A/B Testing"": 80, ""Excel"": 40, ""Tableau"": 53, ""Power BI"": 51, ""Pandas"": 50, ""NumPy"": 65, ""Google Sheets"": 51, ""Jupyter Notebook"": 54, ""Analytical Thinking"": 80, ""Communication"": 67, ""Problem Solving"": 70, ""Attention to Detail"": 80, ""Business Acumen"": 52}"
USR-0004,Data Analyst,Menengah,8.7,Booming,0.4294,Needs Work,NumPy,ETL Process,Excel,54.4,{bad_json
USR-0005,Data Analyst,Pemula,19.0,Kompetitif,,Significant Gap,Analytical Thinking,SQL,Excel,69.1,"{""Python"": 46, ""SQL"": 12, ""Statistics"": 26, ""Data Modeling"": 18, ""ETL Process"": 39, ""Hypothesis Testing"": 50, ""Regression Analysis"": 38, ""A/B Testing"": 25, ""Excel"": 14, ""Tableau"": 13, ""Power BI"": 30, ""Pandas"": 22, ""NumPy"": 28, ""Google Sheets"": 44, ""Jupyter Notebook"": 8, ""Analytical Thinking"": 7, ""Communication"": 42, ""Problem Solving"": 37, ""Attention to Detail"": 45, ""Business Acumen"": 47}"
USR-0006,Data Analyst,Lanjutan,7.9,Normal,0.1783,Ready,Excel,Python,Data Modeling,33.7,"{""Python"": 70, ""SQL"": 81, ""Statistics"": 82, ""Data Modeling"": 69, ""ETL Process"": 100, ""Hypothesis Testing"": 84, ""Regression Analysis"": 64, ""A/B Testing"": 86, ""Excel"": 63, ""Tableau"": 92, ""Power BI"": 93, ""Pandas"": 84, ""NumPy"": 70, ""Google Sheets"": 64, ""Jupyter Notebook"": 85, ""Analytical Thinking"": 93, ""Communication"": 89, ""Problem Solving"": 100, ""Attention to Detail"": 93, ""Business Acumen"": 73}"
USR-0007,Data Analyst,Menengah,0.0,Normal,0.3671,Almost Ready,SQL,Tableau,NumPy,54.7,"{""Python"": 66, ""SQL"": 48, ""Statistics"": 67, ""Data Modeling"": 71, ""ETL Process"": 50, ""Hypothesis Testing"": 41, ""Regression Analysis"": 47, ""A/B Testing"": 66, ""Excel"": 60, ""Tableau"": 44, ""Power BI"": 67, ""Pandas"": 63, ""NumPy"": 43, ""Google Sheets"": 68, ""Jupyter Notebook"": 67, ""Analytical Thinking"": 76, ""Communication"": 77, ""Problem Solving"": 76, ""Attention to Detail"": 80, ""Business Acumen"": 80}"
USR-0008,Data Analyst,Pemula,,Normal,0.7542,Significant Gap,Python,Excel,SQL,70.3,"{""Python"": 13, ""SQL"": 21, ""Statistics"": 18, ""Data Modeling"": 26, ""ETL Process"": 50, ""Hypothesis Testing"": 0, ""Regression Analysis"": 35, ""A/B Testing"": 1, ""Excel"": 10, ""Tableau"": 42, ""Power BI"": 17, ""Pandas"": 27, ""NumPy"": 26, ""Google Sheets"": 18, ""Jupyter Notebook"": 1, ""Analytical Thinking"": 36, ""Communication"": 18, ""Problem Solving"": 38, ""Attention to Detail"": 42, ""Business Acumen"": 45}"
USR-0009,Data Analyst,Pemula,80.0,Booming,0.7378,Significant Gap,Python,Pandas,Excel,61.0,"{""Python"": 1, ""SQL"": 39, ""Statistics"": 44, ""Data Modeling"": 31, ""ETL Process"": 50, ""Hypothesis Testing"": 5, ""Regression Analysis"": 50, ""A/B Testing"": 14, ""Excel"": 11, ""Tableau"": 31, ""Power BI"": 29, ""Pandas"": 0, ""NumPy"": 8, ""Google Sheets"": 50, ""Jupyter Notebook"": 0, ""Analytical Thinking"": 50, ""Communication"": 17, ""Problem Solving"": 16, ""Attention to Detail"": 43, ""Business Acumen"": 40}"
USR-0010,Data Analyst,Menengah,8.5,Normal,0.4123,Needs Work,SQL,Data Modeling,Tableau,68.9,"{""Python"": 79, ""SQL"": 36, ""Statistics"": 80, ""Data Modeling"": 26, ""ETL Process"": 53, ""Hypothesis Testing"": 64, ""Regression Analysis"": 59, ""A/B Testing"": 46, ""Excel"": 59, ""Tableau"": 38, ""Power BI"": 39, ""Pandas"": 72, ""NumPy"": 73, ""Google Sheets"": 66, ""Jupyter Notebook"": 48, ""Analytical Thinking"": 60, ""Communication"": 63, ""Problem Solving"": 70, ""Attention to Detail"": 77, ""Business Acumen"": 61}"
